Identifier,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S
Blank,1,24.213,23.106,1.107,1204,5767,0
Blank,2,24.261,23.151,1.109,1205,5775,0.034
Blank,1,24.022,22.924,1.098,1195,5724,0
Blank,2,24.102,23,1.101,1197,5731,0.018
Blank,3,0.502,0.479,0.023,20,95,0.225
Blank,4,23.767,22.681,1.086,1189,5692,-0.28
Blank,5,24.101,23,1.101,1196,5729,-0.085
Blank,1,23.963,22.867,1.096,1189,5697,0
Blank,2,24.029,22.931,1.099,1190,5701,0.069
Blank,3,1.171,1.117,0.054,47,228,7.522
Blank,4,23.687,22.604,1.083,1182,5661,-0.251
Blank,5,23.929,22.835,1.094,1187,5686,-0.101
Blank,1,24.104,23.002,1.102,1197,5735,0
Blank,2,24.165,23.06,1.105,1198,5740,0.07
Blank,3,1.385,1.322,0.064,56,272,9.442
Blank,4,23.852,22.762,1.09,1190,5704,-0.245
Blank,5,24.081,22.98,1.101,1194,5719,-0.135