,Identifier,Time_h,Replicate,Timepoint,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Compound,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
2,a,0.0,1.0,0.0,3,166.1,66.163,2146,63.151,3.012,10226,-2.562,sample,20221221,Sulfide,-2.5766182793002947,-2.286220474668748,high,-2.476220474668748
7,a,0.0,1.0,0.0,3,152.7,60.341,2279,57.593,2.748,10866,-2.239,sample,20221221,Sulfide,-2.2331488482821027,-1.9427725407849195,high,-2.1327725407849196
12,a,28.0,1.0,3.0,3,128.6,16.438,471,15.687,0.751,2253,-2.155,sample,20221114,Sulfide,-3.21573680573551,-3.0076812038051406,low,-2.797220331576832
17,a,28.0,1.0,3.0,3,116.4,22.924,817,21.876,1.048,3911,-1.973,sample,20221221,Sulfide,-1.9020862088167663,-1.6114735944741732,high,-1.801473594474173
22,a,43.5,1.0,4.0,3,122.5,17.07,557,16.292,0.778,2659,-2.402,sample,20221114,Sulfide,-3.471521331409728,-3.263474509029249,low,-3.037666038487494
27,a,70.5,1.0,5.0,3,119.3,14.833,475,14.158,0.675,2263,-4.039,sample,20221114,Sulfide,-5.765901856698738,-5.557846663119526,low,-5.194375863332354
32,a,70.5,1.0,5.0,3,106.6,16.35,552,15.606,0.744,2632,-5.06,sample,20221221,Sulfide,-5.900627942308268,-5.609972495329537,low,-5.2433741456097644
37,aa,0.0,1.0,0.0,3,130.3,46.91,1742,44.772,2.138,8315,-2.348,sample,20221221,Sulfide,-2.3500528692795086,-2.0595897650819253,high,-2.249589765081925
42,aa,28.0,1.0,3.0,3,105.3,28.754,1062,27.439,1.315,5087,0.033,sample,20221221,Sulfide,0.39686237523898416,0.6874353895972233,high,0.4974353895972233
47,aa,43.5,1.0,4.0,3,94.6,22.083,830,21.075,1.008,3967,-2.179,sample,20221221,Sulfide,-2.148230664848231,-1.8576201517292976,high,-2.047620151729298
52,aa,70.5,1.0,5.0,3,101.1,15.059,557,14.373,0.685,2653,-5.295,sample,20221221,Sulfide,-6.312938609690038,-6.022283970874253,low,-5.630946932621797
57,aaa,0.0,1.0,0.0,3,166.2,90.012,3024,85.911,4.101,14427,-2.393,sample,20221221,Sulfide,-2.396033412877441,-2.1057775216592116,high,-2.2957775216592116
62,aaa,18.0,1.0,2.0,3,117.4,12.25,401,11.691,0.559,1914,-0.774,sample,20221114,Sulfide,-1.8362077409162714,-1.6281449928406426,low,-1.500456293270204
67,aaa,28.0,1.0,3.0,3,88.2,14.845,558,14.166,0.679,2672,-2.859,sample,20221221,Sulfide,-3.0455835766796575,-2.754929099496462,low,-2.5596333535266744
72,aaa,70.5,1.0,5.0,3,100.9,29.541,322,9.106,0.434,1532,-3.473,sample,20221114,Sulfide,-4.1664598045970145,-3.9583889915860215,high,-4.148388991586022
77,aaa,210.5,2.0,12.0,3,112.6,11.05,323,10.546,0.504,1541,-2.329,sample,20221221,Sulfate,-2.331133671009038,-2.0404412101673803,low,-1.8880147375573373
82,aaa,387.5,1.0,16.0,3,173.0,38.229,1101,36.487,1.742,5253,-1.971,sample,20221114,Sulfate,-2.354884349773407,-2.1468930631503715,high,-2.3368930631503715
152,b,0.0,1.0,0.0,3,150.9,34.012,1061,32.462,1.55,5061,-2.124,sample,20221221,Sulfide,-2.0983895626592637,-1.8078163866684354,high,-1.9978163866684353
157,b,28.0,1.0,3.0,3,85.6,9.867,373,9.416,0.45,1781,-2.893,sample,20221221,Sulfide,-3.255489737470166,-2.9648053582579683,low,-2.7569170367624904
162,b,43.5,1.0,4.0,3,121.5,20.546,744,19.608,0.939,3559,-2.689,sample,20221221,Sulfide,-2.7727720050592364,-2.4821475915376316,low,-2.3032187360453737
167,b,70.5,1.0,5.0,3,90.3,8.961,339,8.553,0.408,1614,-5.379,sample,20221221,Sulfide,-7.673099567628305,-7.382409692908075,low,-6.909465111333589
172,b,121.5,2.0,8.0,3,113.9,11.848,349,11.307,0.54,1665,-2.279,sample,20221221,Sulfate,-2.2569091093654827,-1.9662208509711443,low,-1.8182475999128755
177,b,210.5,2.0,12.0,3,149.0,42.227,1315,40.301,1.926,6279,-2.048,sample,20221221,Sulfate,-2.020259857033527,-1.7297277357203553,high,-1.9197277357203553
182,e,0.0,1.0,0.0,3,169.6,40.525,1122,38.677,1.848,5356,-2.055,sample,20221114,Sulfide,-2.422484735381376,-2.214495592601919,high,-2.404495592601919
187,e,0.0,1.0,0.0,3,120.7,39.028,1436,37.249,1.779,6855,-2.184,sample,20221221,Sulfide,-2.1685957125550233,-1.8780831487851448,high,-2.0680831487851448
192,e,0.0,2.0,0.0,3,94.8,11.092,403,10.587,0.506,1925,-1.955,sample,20221221,Sulfide,-1.7587790807967576,-1.468099550562236,low,-1.3500135775285018
197,e,28.0,1.0,3.0,3,116.4,33.387,431,12.775,0.612,2061,-2.246,sample,20221114,Sulfide,-2.720697646017447,-2.5126379605755007,high,-2.7026379605755007
202,e,28.0,1.0,3.0,3,91.0,14.174,524,13.526,0.648,2505,-2.346,sample,20221221,Sulfide,-2.353814172142157,-2.0631541994509286,low,-1.9093649474838728
207,e,70.5,1.0,5.0,3,115.5,31.536,368,11.009,0.527,1760,-2.401,sample,20221114,Sulfide,-2.924261994331877,-2.716195877359197,high,-2.906195877359197
212,e,70.5,2.0,5.0,3,108.8,30.664,367,10.176,0.488,1759,-3.22,sample,20221114,Sulfide,-3.855544854785169,-3.6474786357247,high,-3.8374786357247
217,e,121.5,1.0,8.0,3,180.0,75.749,2329,72.296,3.453,11114,-2.463,sample,20221114,Sulfide,-2.6700839889482526,-2.4622180661306245,high,-2.6522180661306245
222,e,144.5,2.0,8.0,3,180.0,52.215,1403,49.835,2.38,6692,-2.442,sample,20221114,Sulfide,-2.7471532553089157,-2.539192799198285,high,-2.729192799198285
227,e,170.5,1.0,10.0,3,169.5,47.343,1454,45.186,2.157,6936,-3.227,sample,20221114,Sulfide,-3.6228802528556305,-3.4149250032222604,high,-3.6049250032222604
232,e,170.5,2.0,10.0,3,171.1,41.71,1264,39.81,1.9,6028,-2.802,sample,20221114,Sulfide,-3.2203969649747695,-3.0124223186614096,high,-3.2024223186614096
237,e,236.5,2.0,13.0,3,136.5,22.666,718,21.634,1.032,3423,-3.221,sample,20221114,Sulfide,-4.117931988371068,-3.9099016021246853,high,-4.099901602124685
242,e,354.5,1.0,15.0,3,148.1,24.763,675,23.639,1.124,3206,-6.901,sample,20221114,Sulfide,-8.258197579709856,-8.050162803688528,high,-8.240162803688527
247,e,354.5,2.0,15.0,3,132.5,27.233,848,25.991,1.242,4046,-1.781,sample,20221114,Sulfate,-2.3152155178052216,-2.107198402971463,high,-2.297198402971463
252,e,354.5,1.0,15.0,3,98.2,18.7,701,17.85,0.849,3334,-7.992,sample,20221221,Sulfide,-9.458280044426122,-9.16764868070318,low,-8.58758975986099
257,e,387.5,2.0,16.0,3,165.5,35.515,1129,33.896,1.619,5388,-1.803,sample,20221114,Sulfate,-2.202455240874621,-1.9944668127096898,high,-2.18446681270969
262,e,387.5,1.0,16.0,3,107.1,14.714,497,14.043,0.671,2370,-1.695,sample,20221114,Sulfate,-2.7864510602373738,-2.5783981125895292,low,-2.3936942258341576
267,e,410.5,1.0,17.0,3,154.1,50.112,1598,47.83,2.282,7615,-2.59,sample,20221114,Sulfate,-2.918954509737036,-2.7110139607453423,high,-2.9010139607453422
272,e,433.5,2.0,18.0,3,92.0,16.55,626,15.795,0.754,2987,-2.542,sample,20221221,Sulfate,-2.60764714852089,-2.31700366235376,low,-2.1479834426125346
277,e,511.5,1.0,19.0,3,145.5,32.532,1076,31.051,1.481,5126,-2.499,sample,20221114,Sulfate,-3.0152076054444303,-2.80721376662666,high,-2.99721376662666
282,e,511.5,2.0,19.0,3,173.7,22.849,599,21.807,1.042,2856,-1.531,sample,20221114,Sulfate,-2.1436304611871146,-1.935587926493791,high,-2.125587926493791
287,e,583.5,2.0,21.0,3,140.7,29.609,937,28.255,1.353,4485,-1.998,sample,20221114,Sulfate,-2.510499391276587,-2.302491362256087,high,-2.492491362256087
292,full,0.0,1.0,0.0,3,125.7,23.129,849,22.075,1.055,4054,-2.003,sample,20221221,Sulfide,-1.9388195630051661,-1.6482121209054275,high,-1.8382121209054274
297,full,7.0,1.0,1.0,3,119.3,14.197,429,13.549,0.648,2049,-2.042,sample,20221114,Sulfide,-3.286060757321686,-3.078000867704161,low,-2.863320815641911
302,full,18.0,1.0,2.0,3,120.6,18.472,658,17.629,0.843,3144,-2.14,sample,20221114,Sulfide,-3.0562450633574785,-2.8482085518437303,low,-2.6473160387331065
307,full,18.0,1.0,2.0,3,129.5,32.366,1144,30.889,1.477,5470,-2.105,sample,20221221,Sulfide,-2.0753509994434145,-1.7847912389574898,high,-1.9747912389574898
312,full,43.5,1.0,4.0,3,135.8,15.332,470,14.634,0.699,2241,-3.483,sample,20221114,Sulfide,-4.991763578952329,-4.78370787493417,low,-4.466685402438119
317,full,70.5,1.0,5.0,3,136.9,22.945,647,21.902,1.043,3077,-4.011,sample,20221114,Sulfide,-5.023618246299714,-4.815580611820282,high,-5.005580611820283
322,full,70.5,2.0,5.0,3,93.2,15.372,580,14.67,0.702,2774,-4.126,sample,20221221,Sulfide,-4.726515597722961,-4.4358646764567276,low,-4.139712795869324
327,full,387.5,2.0,16.0,3,141.3,43.78,1453,41.784,1.996,6934,-2.575,sample,20221114,Sulfate,-2.954107073694588,-2.7461517219734284,high,-2.9361517219734283
332,full,529.0,2.0,20.0,3,115.0,15.296,500,14.599,0.698,2387,-2.795,sample,20221221,Sulfate,-2.9527542377506357,-2.6620903858772667,low,-2.472364962724631
512,a,91.0,1.0,6.0,3,180.1,122.167,3915,116.627,5.539,18578,-0.552,sample,20221114,Sulfate,-0.6267597328750755,-0.41905572129146684,high,-0.6090557212914669
517,a,91.0,2.0,6.0,3,120.1,21.197,748,20.236,0.961,3549,-0.678,sample,20221114,Sulfate,-1.1948193982323372,-0.9867920746196369,low,-0.8975845501424586
522,a,121.5,1.0,8.0,3,170.1,63.421,2077,60.545,2.876,9859,-0.713,sample,20221114,Sulfate,-0.869272286635492,-0.6613806376949304,high,-0.8513806376949304
527,a,121.5,2.0,8.0,3,161.5,32.06,976,30.606,1.453,4631,-0.811,sample,20221114,Sulfate,-1.148022330049017,-0.9400182824523045,high,-1.1300182824523044
532,a,144.5,1.0,9.0,3,180.1,31.452,841,30.025,1.428,3994,-0.812,sample,20221114,Sulfate,-1.156390634957565,-0.9483728055092808,high,-1.1383728055092808
537,a,144.5,2.0,9.0,3,175.0,47.915,1325,45.743,2.172,6286,-0.948,sample,20221114,Sulfate,-1.1753299675672222,-0.967361548609017,high,-1.157361548609017
542,a,210.5,1.0,12.0,3,180.1,66.739,1805,63.712,3.026,8567,-1.252,sample,20221114,Sulfate,-1.427320030670777,-1.2194006138514932,high,-1.4094006138514932
547,a,210.5,2.0,12.0,3,117.9,15.376,472,14.678,0.698,2239,-0.115,sample,20221114,Sulfate,-0.7306605855697212,-0.5226050857271413,low,-0.4612487805835127
552,a,529.0,2.0,20.0,3,140.3,45.366,1570,43.308,2.058,7454,-1.878,sample,20221221,Sulfate,-1.8366193595583074,-1.5461284545553817,high,-1.7361284545553817
557,a,529.0,1.0,20.0,3,162.1,31.954,977,30.498,1.456,4662,-2.953,sample,20221114,Sulfate,-3.5302372632039276,-3.3222333176950043,high,-3.5122333176950042
