,ID,Replicate,Timepoint,Time_h,well,Compound,Conc_uM,Identifier,max_conc,f_R
6,a,1,4,43.5,1,Sulfate,15.78671194,a_43_1,1406.598064,0.988776672
9,a,1,5,70.5,1,Sulfate,0,a_70_1,1406.598064,1
12,a,1,6,91,1,Sulfate,264.9550065,a_91_1,1406.598064,0.811634174
15,a,1,7,101.5,1,Sulfate,422.0650933,a_101_1,1406.598064,0.699939091
16,a,1,8,121.5,1,Sulfate,765.0608538,a_121_1,1406.598064,0.45609135
17,a,1,9,144.5,1,Sulfate,885.123926,a_144_1,1406.598064,0.370734292
18,a,1,12,210.5,1,Sulfate,1255.057978,a_210_1,1406.598064,0.107735173
19,a,1,14,309,1,Sulfate,1316.990508,a_309_1,1406.598064,0.063705161
20,a,1,16,387.5,1,Sulfate,1381.728338,a_387_1,1406.598064,0.017680762
21,a,1,20,529,1,Sulfate,1406.598064,a_529_1,1406.598064,0
25,a,2,5,70.5,1,Sulfate,227.677684,a_70_2,2235.606425,0.898158423
28,a,2,6,91,1,Sulfate,724.0892425,a_91_2,2235.606425,0.676110592
29,a,2,7,101.5,1,Sulfate,905.8413064,a_101_2,2235.606425,0.594811816
30,a,2,8,121.5,1,Sulfate,1288.036929,a_121_2,2235.606425,0.42385345
31,a,2,9,144.5,1,Sulfate,1595.357815,a_144_2,2235.606425,0.286386997
32,a,2,12,210.5,1,Sulfate,1199.118715,a_210_2,2235.606425,0.463627094
33,a,2,14,309,1,Sulfate,2192.901642,a_309_2,2235.606425,0.019102102
34,a,2,16,387.5,1,Sulfate,2216.248494,a_387_2,2235.606425,0.008658917
35,a,2,20,529,1,Sulfate,2235.606425,a_529_2,2235.606425,0
42,aa,1,4,43.5,1,Sulfate,0,aa_43_1,1536.913777,1
45,aa,1,5,70.5,1,Sulfate,0,aa_70_1,1536.913777,1
48,aa,1,6,91,1,Sulfate,316.8341614,aa_91_1,1536.913777,0.793850399
51,aa,1,7,101.5,1,Sulfate,496.8771933,aa_101_1,1536.913777,0.676704575
52,aa,1,8,121.5,1,Sulfate,679.7797744,aa_121_1,1536.913777,0.557698171
53,aa,1,9,144.5,1,Sulfate,923.2180926,aa_144_1,1536.913777,0.399303913
54,aa,1,12,210.5,1,Sulfate,1323.520742,aa_210_1,1536.913777,0.138845157
55,aa,1,14,309,1,Sulfate,1458.10637,aa_309_1,1536.913777,0.051276401
56,aa,1,16,387.5,1,Sulfate,1500,aa_387_1,1536.913777,0.024018118
57,aa,1,20,529,1,Sulfate,1536.913777,aa_529_1,1536.913777,0
61,aa,2,5,70.5,1,Sulfate,159.5972236,aa_70_2,1948.083064,0.918074734
64,aa,2,6,91,1,Sulfate,807.957931,aa_91_2,1948.083064,0.585254887
65,aa,2,7,101.5,1,Sulfate,1030.254698,aa_101_2,1948.083064,0.471144369
66,aa,2,8,121.5,1,Sulfate,1409.357711,aa_121_2,1948.083064,0.276541264
67,aa,2,9,144.5,1,Sulfate,1690.363466,aa_144_2,1948.083064,0.132293947
68,aa,2,12,210.5,1,Sulfate,1914.898166,aa_210_2,1948.083064,0.017034642
69,aa,2,14,309,1,Sulfate,1922.28566,aa_309_2,1948.083064,0.013242456
70,aa,2,16,387.5,1,Sulfate,1931.886178,aa_387_2,1948.083064,0.008314269
71,aa,2,20,529,1,Sulfate,1948.083064,aa_529_2,1948.083064,0
78,aaa,1,4,43.5,1,Sulfate,0,aaa_43_1,1641.786952,1
81,aaa,1,5,70.5,1,Sulfate,0,aaa_70_1,1641.786952,1
84,aaa,1,6,91,1,Sulfate,75.8373082,aaa_91_1,1641.786952,0.95380807
87,aaa,1,7,101.5,1,Sulfate,279.6043609,aaa_101_1,1641.786952,0.829695101
88,aaa,1,8,121.5,1,Sulfate,602.8786957,aaa_121_1,1641.786952,0.632791152
89,aaa,1,9,144.5,1,Sulfate,968.5963623,aaa_144_1,1641.786952,0.41003529
90,aaa,1,12,210.5,1,Sulfate,1342.606796,aaa_210_1,1641.786952,0.182228367
91,aaa,1,14,309,1,Sulfate,1489.069796,aaa_309_1,1641.786952,0.093018863
92,aaa,1,16,387.5,1,Sulfate,1641.786952,aaa_387_1,1641.786952,0
93,aaa,1,20,529,1,Sulfate,1595.666476,aaa_529_1,1641.786952,0.028091633
97,aaa,2,5,70.5,1,Sulfate,54.74111965,aaa_70_2,1894.469573,0.971104778
100,aaa,2,6,91,1,Sulfate,625.5925794,aaa_91_2,1894.469573,0.669779558
101,aaa,2,7,101.5,1,Sulfate,870.1111156,aaa_101_2,1894.469573,0.540709902
102,aaa,2,8,121.5,1,Sulfate,1321.134475,aaa_121_2,1894.469573,0.302636213
103,aaa,2,9,144.5,1,Sulfate,1424.384932,aaa_144_2,1894.469573,0.248135229
104,aaa,2,12,210.5,1,Sulfate,1777.596022,aaa_210_2,1894.469573,0.061691965
105,aaa,2,14,309,1,Sulfate,1802.799046,aaa_309_2,1894.469573,0.048388493
106,aaa,2,16,387.5,1,Sulfate,1894.469573,aaa_387_2,1894.469573,0
107,aaa,2,20,529,1,Sulfate,1777.190865,aaa_529_2,1894.469573,0.061905828
115,b,1,4,43.5,1,Sulfate,0,b_43_1,3701.443423,1
118,b,1,5,70.5,1,Sulfate,108.9139586,b_70_1,3701.443423,0.970575274
121,b,1,6,91,1,Sulfate,733.1802562,b_91_1,3701.443423,0.801920448
124,b,1,7,101.5,1,Sulfate,997.0416049,b_101_1,3701.443423,0.730634379
125,b,1,8,121.5,1,Sulfate,1504.414528,b_121_1,3701.443423,0.593560037
126,b,1,9,144.5,1,Sulfate,1956.784456,b_144_1,3701.443423,0.471345572
127,b,1,12,210.5,1,Sulfate,3098.513254,b_210_1,3701.443423,0.162890554
128,b,1,14,309,1,Sulfate,3701.443423,b_309_1,3701.443423,0
132,b,2,5,70.5,1,Sulfate,324.6497708,b_70_2,1983.094131,0.836291296
135,b,2,6,91,1,Sulfate,876.0021956,b_91_2,1983.094131,0.558264945
136,b,2,7,101.5,1,Sulfate,1080.715082,b_101_2,1983.094131,0.455035913
137,b,2,8,121.5,1,Sulfate,1254.512758,b_121_2,1983.094131,0.367396263
138,b,2,9,144.5,1,Sulfate,1533.965742,b_144_2,1983.094131,0.226478603
139,b,2,12,210.5,1,Sulfate,1875.484371,b_210_2,1983.094131,0.054263566
140,b,2,14,309,1,Sulfate,1977.145848,b_309_2,1983.094131,0.002999496
141,b,2,16,387.5,1,Sulfate,1916.126723,b_387_2,1983.094131,0.033769152
142,b,2,20,529,1,Sulfate,1983.094131,b_529_2,1983.094131,0
149,e,1,4,43.5,1,Sulfate,95.58183882,e_43_1,1788.548735,0.946558997
156,e,1,8,121.5,1,Sulfate,0.108846491,e_121_1,1788.548735,0.999939143
163,e,1,10,170.5,1,Sulfate,0,e_170_1,1788.548735,1
176,e,1,15,354.5,1,Sulfate,230.1352422,e_354_1,1788.548735,0.871328504
179,e,1,16,387.5,1,Sulfate,1465.447723,e_387_1,1788.548735,0.180649823
180,e,1,17,410.5,1,Sulfate,1669.710232,e_410_1,1788.548735,0.066444096
181,e,1,18,433.5,1,Sulfate,1775.604321,e_433_1,1788.548735,0.007237384
182,e,1,19,511.5,1,Sulfate,1788.548735,e_511_1,1788.548735,0
188,e,2,8,121.5,1,Sulfate,0,e_121_2,1102.715091,1
195,e,2,10,170.5,1,Sulfate,0,e_170_2,1102.715091,1
202,e,2,13,236.5,1,Sulfate,0,e_236_2,1102.715091,1
207,e,2,15,354.5,1,Sulfate,810.6981157,e_354_2,1102.715091,0.264816341
210,e,2,16,387.5,1,Sulfate,923.2217962,e_387_2,1102.715091,0.162773953
211,e,2,17,410.5,1,Sulfate,997.2707019,e_410_2,1102.715091,0.095622514
212,e,2,18,433.5,1,Sulfate,1031.389199,e_433_2,1102.715091,0.064682068
213,e,2,19,511.5,1,Sulfate,1102.715091,e_511_2,1102.715091,0
214,e,2,21,583.5,1,Sulfate,1081.077931,e_583_2,1102.715091,0.019621714
224,full,1,4,43.5,1,Sulfate,0,full_43_1,19.79329181,1
227,full,1,5,70.5,1,Sulfate,0,full_70_1,19.79329181,1
230,full,1,6,91,1,Sulfate,0,full_91_1,19.79329181,1
234,full,1,7,101.5,1,Sulfate,0,full_101_1,19.79329181,1
235,full,1,8,121.5,1,Sulfate,9.165481277,full_121_1,19.79329181,0.536940022
236,full,1,9,144.5,1,Sulfate,19.79329181,full_144_1,19.79329181,0
237,full,1,12,210.5,1,Sulfate,17.07249139,full_210_1,19.79329181,0.137460734
242,full,2,5,70.5,1,Sulfate,0,full_70_2,987.1681698,1
245,full,2,6,91,1,Sulfate,121.2876462,full_91_2,987.1681698,0.877135781
246,full,2,7,101.5,1,Sulfate,286.0461244,full_101_2,987.1681698,0.710235669
247,full,2,8,121.5,1,Sulfate,500.5543224,full_121_2,987.1681698,0.492939159
248,full,2,9,144.5,1,Sulfate,608.6915163,full_144_2,987.1681698,0.38339633
249,full,2,12,210.5,1,Sulfate,738.9302722,full_210_2,987.1681698,0.251464649
250,full,2,14,309,1,Sulfate,913.272315,full_309_2,987.1681698,0.074856399
251,full,2,16,387.5,1,Sulfate,987.1681698,full_387_2,987.1681698,0
252,full,2,20,529,1,Sulfate,942.4433846,full_529_2,987.1681698,0.045306146