,ID,Replicate,Timepoint,Time_h,well,Compound,Conc_uM,avg_conc,Identifier,max_conc,f_R
0,a,1,0,0.0,1,Sulfide,3.74520142,3.5636040463333334,a_0_1,3.5636040463333334,1.0
3,a,1,1,7.0,1,Sulfide,3.519537649,3.519537649,a_7_1,3.5636040463333334,0.9876343171799139
4,a,1,3,28.0,1,Sulfide,1.625472324,1.432087765,a_28_1,3.5636040463333334,0.4018650069929921
7,a,1,4,43.5,1,Sulfide,1.077859794,1.1562140680000002,a_43_1,3.5636040463333334,0.3244507675283546
10,a,1,5,70.5,1,Sulfide,0.302693604,0.2968255595,a_70_1,3.5636040463333334,0.08329364195368731
13,a,1,6,91.0,1,Sulfide,0.054339087,0.0557695765,a_91_1,3.5636040463333334,0.015649767980643776
22,a,2,0,0.0,1,Sulfide,3.616583831,3.8632791193333333,a_0_2,3.8632791193333333,1.0
26,a,2,5,70.5,2,Sulfide,0.045718266,0.0500286765,a_70_2,3.8632791193333333,0.012949796003513512
36,aa,1,0,0.0,1,Sulfide,3.96174413,4.071438746666666,aa_0_1,4.071438746666666,1.0
39,aa,1,1,7.0,1,Sulfide,2.522737389,2.522737389,aa_7_1,4.071438746666666,0.6196181610408346
40,aa,1,3,28.0,1,Sulfide,1.879574323,1.8460424985000001,aa_28_1,4.071438746666666,0.4534128138391807
43,aa,1,4,43.5,2,Sulfide,1.065149325,1.0843864435,aa_43_1,4.071438746666666,0.26633986435085133
46,aa,1,5,70.5,2,Sulfide,0.174494578,0.1718861625,aa_70_1,4.071438746666666,0.04221754843806141
49,aa,1,6,91.0,2,Sulfide,0.054339087,0.0571969225,aa_91_1,4.071438746666666,0.01404833182049657
58,aa,2,0,0.0,1,Sulfide,4.304776375,3.9010785853333334,aa_0_2,3.9010785853333334,1.0
62,aa,2,5,70.5,2,Sulfide,0.051471805,0.04715189,aa_70_2,3.9010785853333334,0.012086885451955343
72,aaa,1,0,0.0,1,Sulfide,3.519537649,3.6579249199999997,aaa_0_1,3.6579249199999997,1.0
75,aaa,1,2,18.0,1,Sulfide,2.853733185,2.853733185,aaa_18_1,3.6579249199999997,0.7801508361740788
76,aaa,1,3,28.0,1,Sulfide,1.865921239,2.031046729,aaa_28_1,3.6579249199999997,0.5552456032913874
79,aaa,1,4,43.5,2,Sulfide,1.696054762,1.6621969810000001,aaa_43_1,3.6579249199999997,0.4544098135835987
82,aaa,1,5,70.5,2,Sulfide,0.819127839,0.8391112414999999,aaa_70_1,3.6579249199999997,0.22939542496131932
85,aaa,1,6,91.0,2,Sulfide,0.088259575,0.0896528925,aaa_91_1,3.6579249199999997,0.024509221610814255
94,aaa,2,0,0.0,1,Sulfide,4.117970233,3.9631785720000003,aaa_0_2,3.9631785720000003,1.0
98,aaa,2,5,70.5,2,Sulfide,0.045718266,0.0471582345,aaa_70_2,3.9631785720000003,0.011899094033555447
108,b,1,0,0.0,1,Sulfide,3.107889024,3.5951773999999994,b_0_1,3.5951773999999994,1.0
111,b,1,1,7.0,1,Sulfide,3.181187951,3.181187951,b_7_1,3.5951773999999994,0.8848486728360054
112,b,1,2,18.0,1,Sulfide,1.693038371,1.693038371,b_18_1,3.5951773999999994,0.47091928509563963
113,b,1,3,28.0,1,Sulfide,1.558519791,1.5014805215,b_28_1,3.5951773999999994,0.4176373943327526
116,b,1,4,43.5,2,Sulfide,1.160556714,1.1683682659999999,b_43_1,3.5951773999999994,0.3249820901744654
119,b,1,5,70.5,2,Sulfide,0.048598203,0.048598203,b_70_1,3.5951773999999994,0.013517609172776845
122,b,1,6,91.0,2,Sulfide,0.057200066,0.057200066,b_91_1,3.5951773999999994,0.015910220730693293
129,b,2,0,0.0,1,Sulfide,4.125932001,4.195858711333333,b_0_2,4.195858711333333,1.0
133,b,2,5,70.5,2,Sulfide,0.051471805,0.050035004,b_70_2,4.195858711333333,0.011924854348610847
143,e,1,0,0.0,1,Sulfide,3.855750344,3.8813401373333334,e_0_1,3.8813401373333334,1.0
146,e,1,1,7.0,1,Sulfide,3.256248241,3.256248241,e_7_1,3.8813401373333334,0.838949467396382
147,e,1,3,28.0,1,Sulfide,1.862526953,1.911506204,e_28_1,3.8813401373333334,0.4924861352948305
150,e,1,4,43.5,2,Sulfide,1.536969349,1.67802629,e_43_1,3.8813401373333334,0.43233167685037893
152,e,1,5,70.5,1,Sulfide,1.583216146,1.627662986,e_70_1,3.8813401373333334,0.41935592563610835
154,e,1,6,91.0,1,Sulfide,1.819083231,1.9994057565,e_91_1,3.8813401373333334,0.5151328370498566
157,e,1,8,121.5,1,Sulfide,1.502733974,1.5430064000000001,e_121_1,3.8813401373333334,0.3975447514012826
160,e,1,9,144.5,1,Sulfide,1.479584846,1.5224333246666666,e_144_1,3.8813401373333334,0.39224424317335177
164,e,1,10,170.5,1,Sulfide,1.184066556,1.187489996,e_170_1,3.8813401373333334,0.30594844924255016
167,e,1,11,192.5,1,Sulfide,1.569436187,1.327120471,e_192_1,3.8813401373333334,0.3419232595038154
170,e,1,12,210.5,1,Sulfide,1.249104852,1.256465009,e_210_1,3.8813401373333334,0.32371937643765786
172,e,1,13,236.5,1,Sulfide,1.283030508,1.2808827374999998,e_236_1,3.8813401373333334,0.33001043252551104
174,e,1,14,309.0,1,Sulfide,1.228393269,1.283258177,e_309_1,3.8813401373333334,0.330622447813002
177,e,1,15,354.5,2,Sulfide,0.065745351,0.067163317,e_354_1,3.8813401373333334,0.017304156457193267
183,e,2,0,0.0,1,Sulfide,3.431722127,3.4947921466666667,e_0_2,3.4947921466666667,1.0
186,e,2,5,70.5,1,Sulfide,1.760972056,1.8734579695,e_70_2,3.4947921466666667,0.5360713572871292
189,e,2,8,121.5,1,Sulfide,1.367849126,1.5445504703333335,e_121_2,3.4947921466666667,0.44195774899131723
192,e,2,9,144.5,1,Sulfide,1.278734967,1.3149703563333333,e_144_2,3.4947921466666667,0.376265683665208
196,e,2,10,170.5,1,Sulfide,1.032941552,1.0795750673333335,e_170_2,3.4947921466666667,0.3089096638731526
199,e,2,11,192.5,1,Sulfide,1.116688223,1.116688223,e_192_2,3.4947921466666667,0.31952922409565826
200,e,2,12,210.5,1,Sulfide,0.924375796,0.9201659044999999,e_210_2,3.4947921466666667,0.2632963180307173
203,e,2,13,236.5,1,Sulfide,0.820793922,0.844944209,e_236_2,3.4947921466666667,0.24177237831036902
205,e,2,14,309.0,1,Sulfide,0.542391045,0.54524332,e_309_2,3.4947921466666667,0.15601595091143064
208,e,2,15,354.5,1,Sulfide,0.057200066,0.0600516235,e_354_2,3.4947921466666667,0.017183174557971137
215,full,1,0,0.0,1,Sulfide,3.811159375,3.848566147333333,full_0_1,3.848566147333333,1.0
218,full,1,1,7.0,1,Sulfide,3.34608293,3.080399419666667,full_7_1,3.848566147333333,0.8004018384356139
221,full,1,2,18.0,1,Sulfide,2.038063068,2.038063068,full_18_1,3.848566147333333,0.5295642558754438
222,full,1,3,28.0,1,Sulfide,1.792967967,1.7207765705,full_28_1,3.848566147333333,0.4471214744983204
225,full,1,4,43.5,1,Sulfide,1.139389047,1.109536832,full_43_1,3.848566147333333,0.28829875582853026
228,full,1,5,70.5,1,Sulfide,0.281482422,0.2850391995,full_70_1,3.848566147333333,0.07406373921817697
231,full,1,6,91.0,1,Sulfide,0.068581283,0.05906757666666667,full_91_1,3.848566147333333,0.015347943729015682
238,full,2,0,0.0,1,Sulfide,3.969420351,4.453214901666667,full_0_2,4.453214901666667,1.0
241,full,2,1,7.0,1,Sulfide,3.138218025,3.138218025,full_7_2,4.453214901666667,0.7047084172437953
243,full,2,5,70.5,1,Sulfide,0.279101535,0.275515536,full_70_2,4.453214901666667,0.06186890641565157
253,neg,1,3,28.0,1,Sulfide,2.284899193,2.2635204045000004,neg_28_1,2.2635204045000004,1.0
255,neg,1,4,43.5,1,Sulfide,1.268065525,1.296361812,neg_43_1,2.2635204045000004,0.5727192957583961
257,neg,1,5,70.5,1,Sulfide,1.427252701,1.4649933375000002,neg_70_1,2.2635204045000004,0.6472189667862126
259,neg,1,6,91.0,1,Sulfide,1.883006662,1.888178183,neg_91_1,2.2635204045000004,0.8341776726404587
261,neg,1,8,121.5,1,Sulfide,1.280880738,1.2604015046666668,neg_121_1,2.2635204045000004,0.5568324023768113
264,neg,1,10,170.5,1,Sulfide,1.017072055,1.032992297,neg_170_1,2.2635204045000004,0.45636535678951945
267,neg,1,12,210.5,1,Sulfide,1.127989302,1.1511026819999999,neg_210_1,2.2635204045000004,0.5085453083221807
269,neg,1,13,236.5,1,Sulfide,1.31576828,1.3371945004999999,neg_236_1,2.2635204045000004,0.590758756952924
271,neg,1,14,309.0,1,Sulfide,0.872429919,0.919629756,neg_309_1,2.2635204045000004,0.4062829538323253
273,neg,1,15,354.5,1,Sulfide,0.895821409,0.9100986025,neg_354_1,2.2635204045000004,0.4020721883887925
275,neg_extratube,1,11,192.5,1,Sulfide,1.651503061,1.6327853685,neg_extratube_192_1,1.6327853685,1.0
