Identifier,Time_h,Replicate,Timepoint,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Compound
SW,,,,1,55,28.712,1427,27.4,1.312,6831,0,standard,20221114,
SW,,,,2,53.1,28.865,1431,27.546,1.319,6850,0.035,standard,20221114,
SW,,,,3,149.6,31.078,965,29.634,1.444,4696,19.326,standard,20221114,
SW,,,,4,53.7,28.581,1421,27.275,1.305,6800,-0.227,standard,20221114,
SW,,,,5,53.1,28.712,1423,27.4,1.312,6812,-0.111,standard,20221114,
SW,,,,1,53.5,28.571,1418,27.265,1.306,6791,0,standard,20221114,
SW,,,,2,55,28.731,1423,27.418,1.313,6814,0.035,standard,20221114,
SW,,,,3,142.7,29.708,911,28.327,1.381,4434,19.353,standard,20221114,
SW,,,,4,53.8,28.776,1431,27.461,1.315,6853,-0.106,standard,20221114,
SW,,,,5,52.7,28.973,1435,27.649,1.324,6870,-0.042,standard,20221114,
SID-9,,,,1,53.1,28.941,1437,27.619,1.322,6880,0,standard,20221114,
SID-9,,,,2,53.2,29.065,1442,27.737,1.328,6903,0.011,standard,20221114,
SID-9,,,,3,180.1,122.167,3915,116.627,5.539,18578,-8.552,standard,20221114,
SID-9,,,,4,56.2,29.055,1437,27.728,1.327,6879,-0.03,standard,20221114,
SID-9,,,,5,54,29.074,1439,27.745,1.328,6887,0.129,standard,20221114,
SID-9,,,,1,54,28.785,1430,27.47,1.315,6844,0,standard,20221114,
SID-9,,,,2,54.8,28.872,1430,27.552,1.319,6846,0.048,standard,20221114,
SID-9,,,,3,120.1,21.197,748,20.236,0.961,3549,-8.378,standard,20221114,
SID-9,,,,4,52.3,28.415,1415,27.117,1.298,6774,-0.296,standard,20221114,
SID-9,,,,5,55,28.683,1420,27.373,1.31,6799,-0.187,standard,20221114,
full,387.5,2,16,1,52.8,28.4,1410,27.103,1.298,6751,0,sample,20221114,Sulfate
full,387.5,2,16,2,53.6,28.49,1412,27.188,1.302,6761,0.013,sample,20221114,Sulfate
full,387.5,2,16,3,141.3,43.78,1453,41.784,1.996,6934,-2.575,sample,20221114,Sulfate
full,387.5,2,16,4,54.4,28.4,1412,27.103,1.297,6759,-0.183,sample,20221114,Sulfate
full,387.5,2,16,5,53.5,28.571,1416,27.266,1.305,6781,-0.11,sample,20221114,Sulfate
aaa,387.5,1,16,1,53.4,28.392,1413,27.096,1.296,6759,0,sample,20221114,Sulfate
aaa,387.5,1,16,2,53.1,28.484,1414,27.183,1.301,6767,0.08,sample,20221114,Sulfate
aaa,387.5,1,16,3,173,38.229,1101,36.487,1.742,5253,-2.471,sample,20221114,Sulfate
aaa,387.5,1,16,4,52.7,28.599,1425,27.293,1.306,6815,-0.265,sample,20221114,Sulfate
aaa,387.5,1,16,5,54.5,28.889,1431,27.571,1.319,6847,-0.138,sample,20221114,Sulfate
a,529,1,20,1,53.5,28.755,1429,27.442,1.313,6841,0,sample,20221114,Sulfate
a,529,1,20,2,53.1,28.885,1435,27.565,1.319,6867,0.028,sample,20221114,Sulfate
a,529,1,20,3,162.1,31.954,977,30.498,1.456,4662,-2.453,sample,20221114,Sulfate
a,529,1,20,4,52.5,29.281,1461,27.944,1.337,6991,-0.187,sample,20221114,Sulfate
a,529,1,20,5,55.5,29.469,1459,28.123,1.346,6985,-0.005,sample,20221114,Sulfate
SW,,,,1,53.6,29.19,1453,27.857,1.333,6952,0,standard,20221114,
SW,,,,2,54.5,29.351,1454,28.01,1.34,6960,0.029,standard,20221114,
SW,,,,3,152.5,29.767,919,28.386,1.381,4469,18.523,standard,20221114,
SW,,,,4,53.3,28.931,1440,27.61,1.321,6888,-0.081,standard,20221114,
SW,,,,5,54.8,29.133,1443,27.803,1.33,6906,0.005,standard,20221114,
SW,,,,1,53.5,29.08,1445,27.752,1.328,6916,0,standard,20221114,
SW,,,,2,54.4,29.106,1442,27.777,1.329,6902,0.068,standard,20221114,
SW,,,,3,172.6,32.609,1007,31.095,1.514,4899,19.322,standard,20221114,
SW,,,,4,54.6,28.645,1423,27.337,1.308,6808,-0.137,standard,20221114,
SW,,,,5,53.1,28.776,1426,27.462,1.314,6822,-0.117,standard,20221114,
SID-9,,,,1,53.8,28.621,1423,27.314,1.308,6812,0,standard,20221114,
SID-9,,,,2,53.9,28.746,1425,27.433,1.313,6821,-0.007,standard,20221114,
SID-9,,,,3,170.1,63.421,2077,60.545,2.876,9859,-8.313,standard,20221114,
SID-9,,,,4,53.8,28.526,1417,27.223,1.303,6782,-0.219,standard,20221114,
SID-9,,,,5,53,28.662,1420,27.352,1.309,6796,-0.114,standard,20221114,
SID-9,,,,1,53.4,28.631,1423,27.324,1.308,6812,0,standard,20221114,
SID-9,,,,2,54.6,28.723,1426,27.411,1.312,6824,0.047,standard,20221114,
SID-9,,,,3,161.5,32.06,976,30.606,1.453,4631,-8.511,standard,20221114,
SID-9,,,,4,53.3,28.914,1440,27.594,1.32,6890,-0.265,standard,20221114,
SID-9,,,,5,54.4,29.223,1448,27.888,1.334,6930,-0.125,standard,20221114,
e,410.5,1,17,1,52.8,27.994,1394,26.716,1.278,6670,0,sample,20221114,Sulfate
e,410.5,1,17,2,54.5,28.595,1417,27.289,1.306,6783,0.023,sample,20221114,Sulfate
e,410.5,1,17,3,154.1,50.112,1598,47.83,2.282,7615,-3.09,sample,20221114,Sulfate
e,410.5,1,17,4,53.6,28.712,1426,27.401,1.311,6821,-0.295,sample,20221114,Sulfate
e,410.5,1,17,5,54,28.737,1423,27.425,1.312,6807,-0.119,sample,20221114,Sulfate
e,511.5,1,19,1,53.7,28.599,1424,27.293,1.306,6811,0,sample,20221114,Sulfate
e,511.5,1,19,2,54.3,28.818,1429,27.503,1.316,6837,0.065,sample,20221114,Sulfate
e,511.5,1,19,3,145.5,32.532,1076,31.051,1.481,5126,-2.999,sample,20221114,Sulfate
e,511.5,1,19,4,54.1,29.089,1448,27.761,1.328,6928,0.01,sample,20221114,Sulfate
e,511.5,1,19,5,54.1,29.322,1454,27.983,1.339,6957,0.154,sample,20221114,Sulfate
e,387.5,2,16,1,53,29.257,1454,27.921,1.336,6957,0,sample,20221114,Sulfate
e,387.5,2,16,2,54.5,29.394,1456,28.051,1.342,6971,0.097,sample,20221114,Sulfate
e,387.5,2,16,3,165.5,35.515,1129,33.896,1.619,5388,-2.303,sample,20221114,Sulfate
e,387.5,2,16,4,53.7,31.856,1582,30.401,1.455,7570,-0.107,sample,20221114,Sulfate
e,387.5,2,16,5,55.3,31.961,1582,30.502,1.46,7571,0.046,sample,20221114,Sulfate
e,511.5,2,19,1,54.1,31.211,1551,29.785,1.426,7424,0,sample,20221114,Sulfate
e,511.5,2,19,2,55.6,31.409,1556,29.974,1.435,7450,0.042,sample,20221114,Sulfate
e,511.5,2,19,3,173.7,22.849,599,21.807,1.042,2856,-2.031,sample,20221114,Sulfate
e,511.5,2,19,4,53.6,31.046,1544,29.628,1.418,7393,-0.191,sample,20221114,Sulfate
e,511.5,2,19,5,55.2,31.359,1550,29.926,1.432,7421,-0.104,sample,20221114,Sulfate
e,387.5,1,16,1,53.9,31.154,1549,29.731,1.423,7413,0,sample,20221114,Sulfate
e,387.5,1,16,2,54.9,31.228,1548,29.801,1.427,7410,0.062,sample,20221114,Sulfate
e,387.5,1,16,3,111,11.122,340,10.615,0.507,1623,-2.702,sample,20221114,Sulfate
e,387.5,1,16,4,53.5,29.124,1454,27.794,1.33,6961,-0.188,sample,20221114,Sulfate
e,387.5,1,16,5,55,29.577,1466,28.226,1.351,7015,-0.077,sample,20221114,Sulfate
SW,,,,1,55.4,33.004,1639,31.496,1.508,7844,0,standard,20221114,
SW,,,,2,55.5,33.046,1637,31.536,1.51,7835,0.029,standard,20221114,
SW,,,,3,126.7,27.733,758,26.446,1.288,3685,18.81,standard,20221114,
SW,,,,4,53.3,32.582,1619,31.094,1.488,7752,0.04,standard,20221114,
SW,,,,5,55.1,32.752,1622,31.256,1.496,7763,0.121,standard,20221114,
SW,,,,1,54.5,32.615,1621,31.125,1.489,7758,0,standard,20221114,
SW,,,,2,53.8,32.806,1624,31.308,1.498,7774,0.077,standard,20221114,
SW,,,,3,117.3,26.978,770,25.726,1.253,3748,19.296,standard,20221114,
SW,,,,4,54.6,32.84,1631,31.34,1.5,7807,-0.041,standard,20221114,
SW,,,,5,54.1,32.972,1630,31.466,1.506,7800,0.102,standard,20221114,
SID-9,,,,1,55.5,32.727,1626,31.232,1.495,7781,0,standard,20221114,
SID-9,,,,2,55.1,32.89,1628,31.387,1.502,7789,-0.02,standard,20221114,
SID-9,,,,3,180.1,31.452,841,30.025,1.428,3994,-7.112,standard,20221114,
SID-9,,,,4,56,32.458,1610,30.975,1.482,7705,-0.244,standard,20221114,
SID-9,,,,5,53.9,32.619,1614,31.129,1.49,7725,-0.107,standard,20221114,
SID-9,,,,1,55,32.46,1612,30.977,1.483,7718,0,standard,20221114,
SID-9,,,,2,54.4,32.457,1607,30.974,1.483,7693,0.099,standard,20221114,
SID-9,,,,3,175,47.915,1325,45.743,2.172,6286,-9.048,standard,20221114,
SID-9,,,,4,54.9,32.074,1591,30.609,1.465,7616,-0.173,standard,20221114,
SID-9,,,,5,54.7,32.214,1593,30.742,1.472,7626,0.019,standard,20221114,
SID-9,,,,1,55.4,34.488,1712,32.912,1.576,8200,0,standard,20221114,
SID-9,,,,2,56.4,34.63,1714,33.048,1.583,8210,0.041,standard,20221114,
SID-9,,,,3,180.1,66.739,1805,63.712,3.026,8567,-8.752,standard,20221114,
SID-9,,,,4,56.6,34.59,1715,33.01,1.58,8211,-0.178,standard,20221114,
SID-9,,,,5,54.8,34.706,1716,33.121,1.586,8218,-0.098,standard,20221114,
SID-9,,,,1,55.7,34.462,1710,32.887,1.575,8186,0,standard,20221114,
SID-9,,,,2,55.1,34.507,1713,32.93,1.577,8201,0.04,standard,20221114,
SID-9,,,,3,117.9,15.376,472,14.678,0.698,2239,-7.815,standard,20221114,
SID-9,,,,4,54.3,34.347,1710,32.778,1.569,8186,-0.211,standard,20221114,
SID-9,,,,5,55.7,34.617,1714,33.035,1.582,8206,-0.081,standard,20221114,
AGS-2,,,,1,55.9,34.411,1707,32.838,1.572,8173,0,standard,20221114,
AGS-2,,,,2,54,34.54,1709,32.962,1.578,8185,0.01,standard,20221114,
AGS-2,,,,3,177,42.355,1075,40.416,1.938,5151,1.899,standard,20221114,
AGS-2,,,,4,56.4,34.545,1713,32.967,1.578,8199,-0.173,standard,20221114,
AGS-2,,,,5,57.5,34.697,1717,33.112,1.585,8221,-0.072,standard,20221114,
AGS-2,,,,1,56.5,34.549,1715,32.97,1.579,8210,0,standard,20221114,
AGS-2,,,,2,55.6,34.667,1716,33.082,1.584,8218,0.03,standard,20221114,
AGS-2,,,,3,166.9,36.119,986,34.466,1.653,4725,1.942,standard,20221114,
AGS-2,,,,4,55.8,34.655,1718,33.072,1.583,8229,-0.122,standard,20221114,
AGS-2,,,,5,55.2,34.756,1719,33.167,1.588,8232,0.005,standard,20221114,
e,0,1,0,1,53.9,34.505,1712,32.929,1.577,8201,0,sample,20221114,Sulfide
e,0,1,0,2,56,34.575,1711,32.995,1.58,8192,0.039,sample,20221114,Sulfide
e,0,1,0,3,169.6,40.525,1122,38.677,1.848,5356,1.555,sample,20221114,Sulfide
e,0,1,0,4,55.8,33.784,1676,32.24,1.544,8024,-0.157,sample,20221114,Sulfide
e,0,1,0,5,56.5,33.891,1676,32.343,1.549,8024,-0.028,sample,20221114,Sulfide
a,28,1,3,1,53,33.301,1652,31.78,1.522,7908,0,sample,20221114,Sulfide
a,28,1,3,2,55.8,33.234,1644,31.716,1.519,7872,0.065,sample,20221114,Sulfide
a,28,1,3,3,128.6,16.438,471,15.687,0.751,2253,0.155,sample,20221114,Sulfide
a,28,1,3,4,53.7,32.07,1596,30.605,1.465,7644,-0.056,sample,20221114,Sulfide
a,28,1,3,5,55,32.349,1601,30.871,1.478,7668,0.037,sample,20221114,Sulfide
a,43.5,1,4,1,54.4,32.08,1593,30.614,1.466,7626,0,sample,20221114,Sulfide
a,43.5,1,4,2,55.3,32.21,1594,30.738,1.472,7632,0.055,sample,20221114,Sulfide
a,43.5,1,4,3,122.5,17.07,557,16.292,0.778,2659,-2.402,sample,20221114,Sulfide
a,43.5,1,4,4,53.7,31.746,1580,30.296,1.45,7563,-0.111,sample,20221114,Sulfide
a,43.5,1,4,5,55.2,32.071,1589,30.605,1.465,7606,0.026,sample,20221114,Sulfide
a,70.5,1,5,1,53.7,32.483,1613,30.998,1.484,7723,0,sample,20221114,Sulfide
a,70.5,1,5,2,55.2,32.635,1616,31.144,1.491,7739,0.037,sample,20221114,Sulfide
a,70.5,1,5,3,119.3,14.833,475,14.158,0.675,2263,-4.039,sample,20221114,Sulfide
a,70.5,1,5,4,54.2,32.381,1615,30.902,1.479,7732,-0.105,sample,20221114,Sulfide
a,70.5,1,5,5,56,32.75,1620,31.254,1.496,7756,-0.033,sample,20221114,Sulfide
e,28,1,3,1,53.9,32.359,1606,30.88,1.479,7689,0,sample,20221114,Sulfide
e,28,1,3,2,56.2,32.418,1606,30.937,1.481,7689,0.024,sample,20221114,Sulfide
e,28,1,3,3,116.4,33.387,431,12.775,0.612,2061,-1.146,sample,20221114,Sulfide
e,28,1,3,4,54.7,31.923,1590,30.465,1.458,7613,-0.159,sample,20221114,Sulfide
e,28,1,3,5,54.7,32.124,1590,30.656,1.468,7613,-0.06,sample,20221114,Sulfide
e,70.5,1,5,1,53.9,31.827,1581,30.372,1.454,7568,0,sample,20221114,Sulfide
e,70.5,1,5,2,53.6,31.928,1583,30.469,1.459,7579,0.018,sample,20221114,Sulfide
e,70.5,1,5,3,115.5,31.536,368,11.009,0.527,1760,-1.601,sample,20221114,Sulfide
e,70.5,1,5,4,53.3,31.324,1561,29.893,1.431,7475,-0.18,sample,20221114,Sulfide
e,70.5,1,5,5,54.5,31.762,1572,30.311,1.451,7528,-0.122,sample,20221114,Sulfide
e,121.5,1,8,1,53.9,31.57,1569,30.128,1.442,7511,0,sample,20221114,Sulfide
e,121.5,1,8,2,54.5,31.707,1571,30.259,1.449,7519,0.082,sample,20221114,Sulfide
e,121.5,1,8,3,180,75.749,2329,72.296,3.453,11114,-2.463,sample,20221114,Sulfide
e,121.5,1,8,4,55.2,31.608,1569,30.164,1.444,7510,-0.059,sample,20221114,Sulfide
e,121.5,1,8,5,55,31.751,1570,30.3,1.451,7516,0.032,sample,20221114,Sulfide
e,170.5,1,10,1,54.6,31.51,1565,30.07,1.44,7492,0,sample,20221114,Sulfide
e,170.5,1,10,2,55.1,31.617,1566,30.172,1.445,7497,0.01,sample,20221114,Sulfide
e,170.5,1,10,3,169.5,47.343,1454,45.186,2.157,6936,-3.227,sample,20221114,Sulfide
e,170.5,1,10,4,55.3,31.457,1560,30.02,1.437,7470,-0.162,sample,20221114,Sulfide
e,170.5,1,10,5,55.3,31.59,1562,30.146,1.443,7479,-0.052,sample,20221114,Sulfide
e,70.5,2,5,1,54.2,31.363,1558,29.93,1.433,7457,0,sample,20221114,Sulfide
e,70.5,2,5,2,55.3,31.498,1559,30.059,1.439,7465,0.055,sample,20221114,Sulfide
e,70.5,2,5,3,108.8,30.664,367,10.176,0.488,1759,-0.32,sample,20221114,Sulfide
e,70.5,2,5,4,53.6,31.091,1551,29.671,1.42,7425,-0.225,sample,20221114,Sulfide
e,70.5,2,5,5,55.1,31.407,1554,29.972,1.435,7441,-0.127,sample,20221114,Sulfide
SID-9,,,,1,54.3,31.136,1548,29.714,1.422,7409,0,standard,20221114,
SID-9,,,,2,52.9,31.285,1550,29.856,1.429,7418,0,standard,20221114,
SID-9,,,,3,168.7,43.094,1269,41.141,1.953,6021,-8.876,standard,20221114,
SID-9,,,,4,52.6,31.175,1548,29.751,1.424,7408,-0.268,standard,20221114,
SID-9,,,,5,52.9,31.346,1553,29.914,1.432,7432,-0.063,standard,20221114,
SID-9,,,,1,54.7,31.189,1549,29.765,1.425,7416,0,standard,20221114,
SID-9,,,,2,54.5,30.13,1488,28.754,1.376,7120,0.053,standard,20221114,
SID-9,,,,3,176.6,59.153,1855,56.472,2.68,8799,-9.027,standard,20221114,
SID-9,,,,4,55.1,30.036,1492,28.665,1.372,7139,-0.16,standard,20221114,
SID-9,,,,5,53.6,30.228,1495,28.848,1.381,7156,-0.033,standard,20221114,
AGS-2,,,,1,54.1,30.113,1496,28.737,1.375,7162,0,standard,20221114,
AGS-2,,,,2,54.6,30.251,1499,28.869,1.382,7176,0.014,standard,20221114,
AGS-2,,,,3,124.3,19.531,571,18.639,0.892,2730,0.02,standard,20221114,
AGS-2,,,,4,54.5,30.161,1499,28.784,1.377,7174,-0.246,standard,20221114,
AGS-2,,,,5,54.2,30.38,1504,28.992,1.387,7197,-0.118,standard,20221114,
AGS-2,,,,1,53.7,30.193,1500,28.813,1.379,7179,0,standard,20221114,
AGS-2,,,,2,55.1,30.299,1501,28.915,1.384,7187,0.008,standard,20221114,
AGS-2,,,,3,150.3,32.447,1042,30.962,1.485,4991,2.122,standard,20221114,
AGS-2,,,,4,54.8,30.191,1503,28.812,1.379,7194,-0.119,standard,20221114,
AGS-2,,,,5,53.6,30.42,1506,29.03,1.39,7208,-0.024,standard,20221114,
e,144.5,2,8,1,54.1,30.28,1504,28.897,1.383,7201,0,sample,20221114,Sulfide
e,144.5,2,8,2,55.1,30.423,1508,29.034,1.389,7217,-0.006,sample,20221114,Sulfide
e,144.5,2,8,3,180,52.215,1403,49.835,2.38,6692,-2.442,sample,20221114,Sulfide
e,144.5,2,8,4,53.4,30.345,1507,28.96,1.386,7213,-0.234,sample,20221114,Sulfide
e,144.5,2,8,5,56.8,30.519,1510,29.125,1.394,7225,-0.132,sample,20221114,Sulfide
e,170.5,2,10,1,54.2,30.322,1505,28.938,1.385,7201,0,sample,20221114,Sulfide
e,170.5,2,10,2,54.1,30.393,1507,29.005,1.388,7213,0.007,sample,20221114,Sulfide
e,170.5,2,10,3,171.1,41.71,1264,39.81,1.9,6028,-2.802,sample,20221114,Sulfide
e,170.5,2,10,4,55.1,30.501,1514,29.109,1.393,7245,-0.118,sample,20221114,Sulfide
e,170.5,2,10,5,54.9,30.663,1518,29.263,1.4,7265,0.014,sample,20221114,Sulfide
e,236.5,2,13,1,53.3,30.46,1512,29.069,1.391,7234,0,sample,20221114,Sulfide
e,236.5,2,13,2,55.3,30.583,1514,29.187,1.397,7247,-0.049,sample,20221114,Sulfide
e,236.5,2,13,3,136.5,22.666,718,21.634,1.032,3423,-3.221,sample,20221114,Sulfide
e,236.5,2,13,4,53,30.279,1510,28.897,1.383,7225,-0.236,sample,20221114,Sulfide
e,236.5,2,13,5,55.3,33.551,1661,32.019,1.532,7949,-0.054,sample,20221114,Sulfide
aaa,18,1,2,1,54.8,32.138,1596,30.671,1.468,7637,0,sample,20221114,Sulfide
aaa,18,1,2,2,51.9,32.132,1592,30.664,1.467,7617,0.016,sample,20221114,Sulfide
aaa,18,1,2,3,117.4,12.25,401,11.691,0.559,1914,-0.774,sample,20221114,Sulfide
aaa,18,1,2,4,53.8,31.738,1581,30.289,1.449,7567,-0.203,sample,20221114,Sulfide
aaa,18,1,2,5,55.3,32.083,1590,30.618,1.465,7608,-0.013,sample,20221114,Sulfide
aaa,70.5,1,5,1,54.7,31.554,1567,30.114,1.441,7497,0,sample,20221114,Sulfide
aaa,70.5,1,5,2,55.4,31.657,1569,30.212,1.446,7509,0.034,sample,20221114,Sulfide
aaa,70.5,1,5,3,100.9,9.541,322,9.106,0.434,1532,-3.473,sample,20221114,Sulfide
aaa,70.5,1,5,4,52.3,29.22,1458,27.886,1.334,6974,-0.212,sample,20221114,Sulfide
aaa,70.5,1,5,5,53.7,29.324,1453,27.985,1.339,6954,-0.057,sample,20221114,Sulfide
full,7,1,1,1,53.1,29.513,1469,28.166,1.348,7026,0,sample,20221114,Sulfide
full,7,1,1,2,53.6,29.698,1473,28.342,1.356,7048,-0.015,sample,20221114,Sulfide
full,7,1,1,3,119.3,14.197,429,13.549,0.648,2049,-1.042,sample,20221114,Sulfide
full,7,1,1,4,54.4,29.74,1483,28.382,1.358,7095,-0.201,sample,20221114,Sulfide
full,7,1,1,5,54.6,30.008,1489,28.638,1.37,7124,-0.061,sample,20221114,Sulfide
SID-9,,,,1,53.7,29.927,1489,28.56,1.366,7122,0,standard,20221114,
SID-9,,,,2,52.8,30.047,1491,28.675,1.372,7133,0.081,standard,20221114,
SID-9,,,,3,180,109.679,2983,104.711,4.968,14137,-9.014,standard,20221114,
SID-9,,,,4,57.8,30.198,1496,28.82,1.379,7158,-0.024,standard,20221114,
SID-9,,,,5,54,30.281,1498,28.899,1.383,7168,0.103,standard,20221114,
SID-9,,,,1,55.4,30.125,1493,28.75,1.376,7143,0,standard,20221114,
SID-9,,,,2,55.8,30.171,1494,28.793,1.378,7150,0.026,standard,20221114,
SID-9,,,,3,170.8,46.438,1362,44.335,2.104,6454,-8.999,standard,20221114,
SID-9,,,,4,53.5,30.063,1493,28.691,1.373,7142,-0.203,standard,20221114,
SID-9,,,,5,54.9,30.296,1497,28.913,1.383,7164,-0.052,standard,20221114,
AGS-2,,,,1,51.9,30.101,1496,28.726,1.374,7160,0,standard,20221114,
AGS-2,,,,2,53.5,30.205,1497,28.826,1.379,7165,0.07,standard,20221114,
AGS-2,,,,3,161.4,32.456,952,30.972,1.484,4554,1.142,standard,20221114,
AGS-2,,,,4,54.1,30.118,1497,28.743,1.375,7160,-0.141,standard,20221114,
AGS-2,,,,5,53.6,30.299,1499,28.916,1.383,7172,-0.076,standard,20221114,
AGS-2,,,,1,54.3,30.103,1495,28.728,1.375,7159,0,standard,20221114,
AGS-2,,,,2,53.6,30.229,1498,28.848,1.381,7171,0.012,standard,20221114,
AGS-2,,,,3,130.6,31.752,881,30.299,1.453,4219,1.734,standard,20221114,
AGS-2,,,,4,53.5,30.182,1500,28.804,1.379,7177,-0.106,standard,20221114,
AGS-2,,,,5,55.3,30.401,1503,29.013,1.389,7196,0.004,standard,20221114,
e,583.5,2,21,1,54.3,33.224,1649,31.707,1.518,7893,0,sample,20221114,Sulfate
e,583.5,2,21,2,52.7,33.345,1652,31.822,1.523,7908,-0.003,sample,20221114,Sulfate
e,583.5,2,21,3,140.7,29.609,937,28.255,1.353,4485,0.498,sample,20221114,Sulfate
e,583.5,2,21,4,54.8,33.159,1652,31.644,1.515,7909,-0.163,sample,20221114,Sulfate
e,583.5,2,21,5,55,33.456,1657,31.927,1.528,7932,-0.02,sample,20221114,Sulfate
full,18,1,2,1,53.5,29.478,1465,28.132,1.346,7007,0,sample,20221114,Sulfide
full,18,1,2,2,55,29.557,1465,28.207,1.349,7010,0.105,sample,20221114,Sulfide
full,18,1,2,3,120.6,38.472,658,17.629,0.843,3144,-0.14,sample,20221114,Sulfide
full,18,1,2,4,54.6,29.184,1455,27.852,1.332,6959,-0.29,sample,20221114,Sulfide
full,18,1,2,5,56,29.506,1462,28.159,1.347,6992,-0.145,sample,20221114,Sulfide
full,43.5,1,4,1,55.2,29.824,1483,28.462,1.363,7100,0,sample,20221114,Sulfide
full,43.5,1,4,2,52.3,29.89,1481,28.524,1.366,7091,-0.049,sample,20221114,Sulfide
full,43.5,1,4,3,135.8,35.332,470,14.634,0.699,2241,-3.483,sample,20221114,Sulfide
full,43.5,1,4,4,53.8,29.537,1472,28.187,1.349,7050,-0.275,sample,20221114,Sulfide
full,43.5,1,4,5,54.7,29.825,1478,28.462,1.363,7079,-0.151,sample,20221114,Sulfide
full,70.5,1,5,1,52.8,29.612,1472,28.259,1.353,7050,0,sample,20221114,Sulfide
full,70.5,1,5,2,55.2,29.74,1473,28.381,1.359,7054,0.008,sample,20221114,Sulfide
full,70.5,1,5,3,136.9,22.945,647,21.902,1.043,3077,-6.011,sample,20221114,Sulfide
full,70.5,1,5,4,54.6,29.357,1463,28.015,1.341,7002,-0.258,sample,20221114,Sulfide
full,70.5,1,5,5,55,29.544,1464,28.194,1.35,7008,-0.099,sample,20221114,Sulfide
e,354.5,1,15,1,53.7,29.684,1477,28.328,1.356,7066,0,sample,20221114,Sulfate
e,354.5,1,15,2,56.2,29.796,1478,28.435,1.361,7073,0.002,sample,20221114,Sulfate
e,354.5,1,15,3,148.1,24.763,675,23.639,1.124,3206,-6.901,sample,20221114,Sulfate
e,354.5,1,15,4,53.9,29.481,1468,28.135,1.346,7023,-0.245,sample,20221114,Sulfate
e,354.5,1,15,5,54.2,29.603,1466,28.251,1.352,7018,-0.004,sample,20221114,Sulfate
e,354.5,2,15,1,54.5,29.183,1452,27.85,1.333,6951,0,sample,20221114,Sulfate
e,354.5,2,15,2,54.7,29.295,1452,27.956,1.339,6952,0.051,sample,20221114,Sulfate
e,354.5,2,15,3,132.5,27.233,848,25.991,1.242,4046,-2.281,sample,20221114,Sulfate
e,354.5,2,15,4,54,29.141,1450,27.809,1.331,6940,-0.157,sample,20221114,Sulfate
e,354.5,2,15,5,54.8,29.378,1456,28.036,1.342,6971,-0.019,sample,20221114,Sulfate
full,0,1,0,1,53.9,34.505,1712,32.929,1.577,8201,0,sample,20221114,Sulfide
full,0,1,0,2,56,34.575,1711,32.995,1.58,8192,0.039,sample,20221114,Sulfide
full,0,1,0,3,169.6,40.525,1122,38.677,1.848,5356,1.755,sample,20221114,Sulfide
full,0,1,0,4,55.8,33.784,1676,32.24,1.544,8024,-0.157,sample,20221114,Sulfide
full,0,1,0,5,56.5,33.891,1676,32.343,1.549,8024,-0.028,sample,20221114,Sulfide