Identifier,Peak_Nr,Width,Ampl_64,Ampl_66,d34S,Date
linearity,1,42.6,615,2943,-0.186,20221114
linearity,2,48.5,2050,9817,0,20221114
linearity,3,50.8,3081,14759,0.109,20221114
linearity,4,52.5,3733,17882,0.211,20221114
linearity,5,55,5088,24379,0.406,20221114
linearity,6,34.7,7330,35131,0.648,20221114
linearity,1,43.5,617,2955,-0.097,20221114
linearity,2,49.1,2052,9832,0,20221114
linearity,3,51.8,3090,14804,0.058,20221114
linearity,4,52.7,3742,17930,0.148,20221114
linearity,5,55.2,5105,24466,0.271,20221114
linearity,6,33.2,7354,35253,0.413,20221114
linearity,1,46.8,552,2642,-0.315,20221221
linearity,2,53.7,1886,9033,0,20221221
linearity,3,56.4,2851,13657,0.219,20221221
linearity,4,58.5,3463,16592,0.402,20221221
linearity,5,60.6,4726,22645,0.619,20221221
linearity,6,34.3,6803,32607,0.902,20221221
linearity,1,48.5,560,2681,-0.146,20221221
linearity,2,54.8,1895,9080,0,20221221
linearity,3,57.9,2863,13717,0.118,20221221
linearity,4,59.1,3467,16608,0.246,20221221
linearity,5,61.4,4734,22688,0.412,20221221
linearity,6,34.1,6813,32656,0.62,20221221