Identifier,Peak_Nr,Ampl_64,Ampl_66,d34S,Date
linearity,1,510,2446,-0.153,20220212
linearity,2,1729,8294,0,20220212
linearity,3,2614,12544,0.044,20220212
linearity,4,3165,15187,0.068,20220212
linearity,5,4317,20718,0.143,20220212
linearity,6,6220,29857,0.19,20220212
linearity,1,511,2451,-0.185,20220212
linearity,2,1729,8295,0,20220212
linearity,3,2610,12526,0.066,20220212
linearity,4,3160,15167,0.113,20220212
linearity,5,4309,20679,0.177,20220212
linearity,6,6210,29809,0.215,20220212
linearity,1,499,2392,-0.236,20220212
linearity,2,1711,8209,0,20220212
linearity,3,2594,12447,0.085,20220212
linearity,4,3149,15110,0.06,20220212
linearity,5,4299,20627,0.125,20220212
linearity,6,6196,29730,0.171,20220212
linearity,1,505,2422,-0.256,20220212
linearity,2,1714,8224,0,20220212
linearity,3,2594,12445,0.048,20220212
linearity,4,3148,15104,0.097,20220212
linearity,5,4293,20597,0.139,20220212
linearity,6,6197,29740,0.248,20220212
linearity,1,500,2398,-0.271,20220212
linearity,2,1707,8189,0,20220212
linearity,3,2591,12431,0.07,20220212
linearity,4,3139,15059,0.07,20220212
linearity,5,4289,20576,0.156,20220212
linearity,6,6049,29026,0.262,20220212
linearity,1,500,2399,-0.325,20220212
linearity,2,1705,8181,0,20220212
linearity,3,2586,12405,0.075,20220212
linearity,4,3145,15087,0.08,20220212
linearity,5,4291,20587,0.201,20220212
linearity,6,6185,29677,0.351,20220212
linearity,1,506,2426,-0.352,20220212
linearity,2,1715,8226,0,20220212
linearity,3,2597,12459,0.124,20220212
linearity,4,3151,15114,0.177,20220212
linearity,5,4297,20614,0.309,20220212
linearity,6,6197,29735,0.462,20220212
linearity,1,510,2446,-0.278,20220212
linearity,2,1720,8252,0,20220212
linearity,3,2602,12479,0.094,20220212
linearity,4,3156,15141,0.161,20220212
linearity,5,4308,20666,0.314,20220212
linearity,6,6203,29762,0.464,20220212
linearity,1,510,2446,-0.21,20220212
linearity,2,1720,8254,0,20220212
linearity,3,2606,12505,0.054,20220212
linearity,4,3157,15153,0.087,20220212
linearity,5,4314,20706,0.168,20220212
linearity,6,6217,29841,0.233,20220212
linearity,1,500,2399,-0.318,20220212
linearity,2,1714,8222,0,20220212
linearity,3,2608,12507,0.075,20220212
linearity,4,3169,15196,0.095,20220212
linearity,5,4334,20785,0.223,20220212
linearity,6,6238,29927,0.341,20220212
linearity,1,513,2462,-0.281,20220212
linearity,2,1732,8309,0,20220212
linearity,3,2624,12589,0.092,20220212
linearity,4,3183,15274,0.123,20220212
linearity,5,4342,20835,0.234,20220212
linearity,6,6248,29981,0.345,20220212
linearity,1,514,2465,-0.425,20220212
linearity,2,1733,8310,0,20220212
linearity,3,2621,12569,0.166,20220212
linearity,4,3175,15227,0.253,20220212
linearity,5,4331,20774,0.471,20220212
linearity,6,6248,29974,0.66,20220212
linearity,1,513,2460,-0.363,20220212
linearity,2,1727,8280,0,20220212
linearity,3,2615,12538,0.141,20220212
linearity,4,3166,15185,0.239,20220212
linearity,5,4316,20700,0.43,20220212
linearity,6,6258,30022,0.638,20220212
linearity,1,554,2657,-0.438,20220215
linearity,2,1858,8908,0,20220215
linearity,3,2800,13424,0.242,20220215
linearity,4,3384,16229,0.328,20220215
linearity,5,4608,22103,0.599,20220215
linearity,6,6616,31740,0.861,20220215
linearity,1,553,2648,-0.444,20220215
linearity,2,1845,8845,0,20220215
linearity,3,2780,13331,0.185,20220215
linearity,4,3365,16141,0.346,20220215
linearity,5,4583,21985,0.576,20220215
linearity,6,6590,31618,0.857,20220215
linearity,1,606,2903,-0.505,20220217
linearity,2,2019,9676,0,20220217
linearity,3,3034,14548,0.22,20220217
linearity,4,3665,17578,0.364,20220217
linearity,5,4999,23981,0.667,20220217
linearity,6,7178,34442,0.965,20220217
linearity,1,604,2895,-0.509,20220217
linearity,2,2019,9679,0,20220217
linearity,3,3043,14594,0.225,20220217
linearity,4,3667,17587,0.351,20220217
linearity,5,5015,24055,0.646,20220217
linearity,6,7195,34527,0.951,20220217
linearity,1,601,2873,-0.692,20220217
linearity,2,2011,9627,0,20220217
linearity,3,3043,14570,0.333,20220217
linearity,4,3690,17671,0.526,20220217
linearity,5,5024,24072,1.013,20220217
linearity,6,7216,34594,1.57,20220217
linearity,1,606,2908,-0.316,20220217
linearity,2,2019,9687,0,20220217
linearity,3,3039,14577,0.093,20220217
linearity,4,3676,17635,0.166,20220217
linearity,5,5003,24002,0.303,20220217
linearity,6,7184,34475,0.423,20220217
linearity,1,608,2916,-0.439,20220217
linearity,2,2038,9769,0,20220217
linearity,3,3073,14737,0.215,20220217
linearity,4,3724,17860,0.341,20220217
linearity,5,5067,24303,0.607,20220217
linearity,6,7274,34903,0.927,20220217
linearity,1,613,2940,-0.246,20220217
linearity,2,2042,9793,0,20220217
linearity,3,3076,14755,0.117,20220217
linearity,4,3717,17835,0.187,20220217
linearity,5,5071,24333,0.307,20220217
linearity,6,7287,34973,0.41,20220217
linearity,1,616,2946,-0.836,20220217
linearity,2,2047,9798,0,20220217
linearity,3,3080,14746,0.471,20220217
linearity,4,3726,17842,0.637,20220217
linearity,5,5075,24315,1.122,20220217
linearity,6,7283,34913,1.748,20220217
linearity,1,615,2952,-0.271,20220217
linearity,2,2047,9823,0,20220217
linearity,3,3082,14784,0.083,20220217
linearity,4,3724,17869,0.139,20220217
linearity,5,5067,24314,0.238,20220217
linearity,6,7282,34945,0.346,20220217
linearity,1,620,2973,-0.427,20220217
linearity,2,2073,9937,0,20220217
linearity,3,3127,14996,0.162,20220217
linearity,4,3782,18140,0.29,20220217
linearity,5,5140,24659,0.569,20220217
linearity,6,7380,35414,0.833,20220217
linearity,2,1978,9463,0,20220218
linearity,3,2983,14281,0.415,20220218
linearity,4,3606,17264,0.642,20220218
linearity,5,4897,23454,1.088,20220218
linearity,6,7031,33703,1.755,20220218
linearity,1,595,2850,-0.504,20220218
linearity,2,1976,9475,0,20220218
linearity,3,2977,14278,0.244,20220218
linearity,4,3603,17281,0.386,20220218
linearity,5,4899,23500,0.698,20220218
linearity,6,7025,33710,1.007,20220218
linearity,1,594,2849,-0.334,20220218
linearity,2,1974,9471,0,20220218
linearity,3,2968,14243,0.108,20220218
linearity,4,3592,17239,0.184,20220218
linearity,5,4886,23449,0.34,20220218
linearity,6,7015,33675,0.483,20220218
linearity,1,553,2648,-0.531,20220218
linearity,2,1866,8943,0,20220218
linearity,3,2822,13530,0.169,20220218
linearity,4,3423,16412,0.286,20220218
linearity,5,4665,22372,0.55,20220218
linearity,6,6711,32197,0.903,20220218
linearity,1,564,2690,-0.936,20220218
linearity,2,1882,8981,0,20220218
linearity,3,2842,13567,0.536,20220218
linearity,4,3440,16429,0.848,20220218
linearity,5,4683,22376,1.429,20220218
linearity,6,6729,32181,2.291,20220218
linearity,1,611,2932,-0.316,20220218
linearity,2,2044,9806,0,20220218
linearity,3,3075,14754,0.139,20220218
linearity,4,3711,17808,0.219,20220218
linearity,5,5027,24127,0.385,20220218
linearity,6,7210,34612,0.556,20220218
linearity,1,609,2903,-1.071,20220218
linearity,2,2021,9646,0,20220218
linearity,3,3041,14522,0.616,20220218
linearity,4,3666,17511,0.903,20220218
linearity,5,4981,23806,1.562,20220218
linearity,6,7140,34154,2.446,20220218
linearity,1,603,2890,-0.523,20220218
linearity,2,1998,9578,0,20220218
linearity,3,3007,14421,0.234,20220218
linearity,4,3628,17400,0.376,20220218
linearity,5,4935,23674,0.675,20220218
linearity,6,7066,33911,1.018,20220218
linearity,1,599,2873,-0.141,20220218
linearity,2,1989,9543,0,20220218
linearity,3,2999,14390,-0.014,20220218
linearity,4,3622,17380,0.009,20220218
linearity,5,4923,23624,0.068,20220218
linearity,6,7057,33868,0.074,20220218