treatment,replicate,time_h,uncorrected_conc_uM,dil_corrected_conc_mM
high,4,54.5,26.49260001,0.883086667
high,5,54.5,53.7168,1.074336
high,6,54.5,47.6872,0.953744
high,4,83,77.4963,1.549926
high,5,83,83.808,1.67616
high,6,83,83.2532,1.665064
high,4,101.5,109.7196,2.194392
high,5,101.5,109.90069,2.1980138
high,6,101.5,109.45407,2.1890814
high,4,151,137.488,2.74976
high,5,151,141.061,2.82122
high,6,151,137.845,2.7569
high,4,295,159.605,3.1921
high,5,295,151.344,3.02688
high,6,295,149.745,2.9949
medium,4,54.5,39.1484,0.782968
medium,5,54.5,39.7963,0.795926
medium,6,54.5,35.9403,0.718806
medium,4,83,79.4953,1.589906
medium,5,83,74.9792,1.499584
medium,6,83,71.5717,1.431434
medium,4,101.5,104.9307,2.098614
medium,5,101.5,106.1957,2.123914
medium,6,101.5,102.5538,2.051076
medium,4,151,133.633,2.67266
medium,5,151,130.389,2.60778
medium,6,151,135.654,2.71308
medium,4,295,149.296,2.98592
medium,5,295,151.215,3.0243
medium,6,295,156.344,3.12688
lower,4,54.5,40.3826,0.807652
lower,5,54.5,44.0323,0.880646
lower,6,54.5,44.4929,0.889858
lower,4,83,67.7912,1.355824
lower,5,83,69.892,1.39784
lower,6,83,71.8154,1.436308
lower,4,101.5,96.9523,1.939046
lower,5,101.5,97.4911,1.949822
lower,6,101.5,95.5321,1.910642
lower,4,151,120.849,2.41698
lower,5,151,122.966,2.45932
lower,6,151,121.451,2.42902
lower,4,295,159.333,3.18666
lower,5,295,153.056,3.06112
lower,6,295,156.01,3.1202